idVia;nombreOriginal;numeroExpediente;fecha;hora;nombreVia;portal;distrito;tipoAccidente;meteorologia;tipoVehiculo;tipoPersonaAfectada;typicalAgeRange;gender;lesividad;esCruce;tipoVia;palabrasClave;municipio
472000;CALL. MARCELO USERA / CALL. MANUEL NOYA;2019S007920;02/02/2019;11:07;CALLE MARCELO USERA;-;USERA;Atropello a persona;Despejado;Bicicleta;Conductor;50-54;Female;14;2;Calle;MARCELO USERA;Madrid
466100;CALL. MARCELO USERA / CALL. MANUEL NOYA;2019S007920;02/02/2019;11:07;CALLE MANUEL NOYA;-;USERA;Atropello a persona;Despejado;Bicicleta;Conductor;50-54;Female;14;2;Calle;MANUEL NOYA;Madrid
472000;CALL. MARCELO USERA / CALL. MANUEL NOYA;2019S007920;02/02/2019;11:07;CALLE MARCELO USERA;-;USERA;Atropello a persona;Despejado;Bicicleta;Peatón;70-74;Female;07;2;Calle;MARCELO USERA;Madrid
466100;CALL. MARCELO USERA / CALL. MANUEL NOYA;2019S007920;02/02/2019;11:07;CALLE MANUEL NOYA;-;USERA;Atropello a persona;Despejado;Bicicleta;Peatón;70-74;Female;07;2;Calle;MANUEL NOYA;Madrid
477300;CALL. MARIA DE MOLINA;2019S007753;02/02/2019;0:03; CALLE MARIA DE MOLINA;18;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;35-39;Male;02;0;Calle;MARIA MOLINA;Madrid
37000;CALL. ALTAMIRANO / PASEO. PINTOR ROSALES;2019S008637;03/02/2019;17:00;CALLE ALTAMIRANO;-;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;45-49;Female;06;2;Calle;ALTAMIRANO;Madrid
596300;CALL. ALTAMIRANO / PASEO. PINTOR ROSALES;2019S008637;03/02/2019;17:00;PASEO PINTOR ROSALES;-;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;45-49;Female;06;2;Paseo;PINTOR ROSALES;Madrid
10200;CALL. AGUSTIN DE FOXA;2019S008855;06/02/2019;19:40; CALLE AGUSTIN DE FOXA;30;CHAMARTÍN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;30-34;Male;06;0;Calle;AGUSTIN FOXA;Madrid
18900;CALL. ALCALA;2019S008627;06/02/2019;17:30; CALLE ALCALA;173;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;40-44;Male;;0;Calle;ALCALA;Madrid
342950;CALL. GRAN VIA / CALL. ALCALA;2019S009150;06/02/2019;16:40;CALLE GRAN VIA;-;CENTRO;Caída;Despejado;Bicicleta;Conductor;35-39;Male;05;2;Calle;GRAN VIA;Madrid
18900;CALL. GRAN VIA / CALL. ALCALA;2019S009150;06/02/2019;16:40;CALLE ALCALA;-;CENTRO;Caída;Despejado;Bicicleta;Conductor;35-39;Male;05;2;Calle;ALCALA;Madrid
411300;CALL. JUAN BRAVO;2019S008489;06/02/2019;10:25; CALLE JUAN BRAVO;17;SALAMANCA;Colisión frontal;Despejado;Bicicleta;Conductor;50-54;Male;02;0;Calle;JUAN BRAVO;Madrid
450350;AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA;2019S008448;06/02/2019;8:05;AVENIDA LLANO CASTELLANO;-;FUENCARRAL-EL PARDO;Atropello a persona;Despejado;Bicicleta;Conductor;45-49;Male;02;2;Avenida;LLANO CASTELLANO;Madrid
141550;AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA;2019S008448;06/02/2019;8:05;AVENIDA CARDENAL HERRERA ORIA;-;FUENCARRAL-EL PARDO;Atropello a persona;Despejado;Bicicleta;Conductor;45-49;Male;02;2;Avenida;CARDENAL HERRERA ORIA;Madrid
450350;AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA;2019S008448;06/02/2019;8:05;AVENIDA LLANO CASTELLANO;-;FUENCARRAL-EL PARDO;Atropello a persona;Despejado;Bicicleta;Peatón;15-17;Female;07;2;Avenida;LLANO CASTELLANO;Madrid
141550;AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA;2019S008448;06/02/2019;8:05;AVENIDA CARDENAL HERRERA ORIA;-;FUENCARRAL-EL PARDO;Atropello a persona;Despejado;Bicicleta;Peatón;15-17;Female;07;2;Avenida;CARDENAL HERRERA ORIA;Madrid
610450;CALL. PRINCIPE DE VERGARA / GTA. LOPEZ DE HOYOS;2019S009106;07/02/2019;18:50;CALLE PRINCIPE DE VERGARA;-;CHAMARTÍN;Caída;Despejado;Bicicleta;Conductor;35-39;Female;06;2;Calle;PRINCIPE VERGARA;Madrid
441310;CALL. PRINCIPE DE VERGARA / GTA. LOPEZ DE HOYOS;2019S009106;07/02/2019;18:50;GLORIETA LOPEZ DE HOYOS;-;CHAMARTÍN;Caída;Despejado;Bicicleta;Conductor;35-39;Female;06;2;Glorieta;LOPEZ HOYOS;Madrid
768800;CALL. VALLEHERMOSO / CALL. FERNANDEZ DE LOS RIOS;2019S009136;07/02/2019;16:10;CALLE VALLEHERMOSO;-;CHAMBERÍ;Alcance;;Bicicleta;Conductor;30-34;Male;;2;Calle;VALLEHERMOSO;Madrid
293500;CALL. VALLEHERMOSO / CALL. FERNANDEZ DE LOS RIOS;2019S009136;07/02/2019;16:10;CALLE FERNANDEZ DE LOS RIOS;-;CHAMBERÍ;Alcance;;Bicicleta;Conductor;30-34;Male;;2;Calle;FERNANDEZ RIOS;Madrid
