nombreOriginal;OBJECTID;ID_EJE;ID_GRUPO;ID_TIPO;TX_CAPA;NU_DIRECCI;NU_DOBLE_S;TX_NOMBRE;TX_NOMBRE_;Shape_Leng
Calle del Concierto;125;122;104;1;CICLOCALLES;-1;0;Calle del Concierto;CONCIERTO;94,21103342970
Calle de Almazßn;126;123;105;1;CICLOCALLES;1;0;Calle de Almazßn;ALMAZAN;246,43132921600
;127;124;106;1;CICLOCALLES;0;0;;;132,33207294400
Calle de la Huerta de Casta±eda;128;125;107;2;PEATONAL;0;0;Calle de la Huerta de Casta±eda;HUERTA DE CASTAÐEDA;71,73379351410
Calle de Riocabado;129;126;108;1;CICLOCALLES;-1;0;Calle de Riocabado;RIOCABADO;303,19878135500
Calle de Riocabado;130;127;109;1;CICLOCALLES;1;0;Calle de Riocabado;RIOCABADO;354,41727129400
Calle de Carlos Fuentes;131;128;110;2;PEATONAL;0;0;Calle de Carlos Fuentes;CARLOS FUENTES;54,34951477900
Calle de H·mera;132;129;111;1;CICLOCALLES;1;0;Calle de H·mera;HUMERA;217,74899452700
Calle de H·mera;133;130;112;1;CICLOCALLES;-1;0;Calle de H·mera;HUMERA;198,28796162100
Senda Real;134;131;113;2;PEATONAL;0;0;Senda Real;SENDA REAL;294,96374241000
Avenida del Cardenal Herrera Oria;135;132;114;2;PEATONAL;0;0;Avenida del Cardenal Herrera Oria;CARDENAL HERRERA ORIA;183,64587423200
Calle del Doctor Carmena Ruiz;136;133;115;1;CICLOCALLES;1;0;Calle del Doctor Carmena Ruiz;DOCTOR CARMINA RUIZ;167,14498804800
Calle de la Colegiata;137;134;116;1;CICLOCALLES;1;0;Calle de la Colegiata;COLEGIATA;261,57030797500
Plaza de Tirso de Molina;138;135;116;1;CICLOCALLES;1;0;Plaza de Tirso de Molina;TIRSO DE MOLINA;168,45222870900
Calle del Casino;139;136;117;1;CICLOCALLES;1;0;Calle del Casino;CASINO;324,28646938200
Calle de Tribulete;140;137;117;1;CICLOCALLES;1;0;Calle de Tribulete;TRIBULETE;272,94734046400
Calle del Pez;141;138;119;1;CICLOCALLES;1;0;Calle del Pez;PEZ;522,63277271600
Calle de Gotarrendura;142;139;120;1;CICLOCALLES;-1;0;Calle de Gotarrendura;GOTARRENDURA;115,99419778200
Calle de Gotarrendura;143;140;121;1;CICLOCALLES;1;0;Calle de Gotarrendura;GOTARRENDURA;118,70035670100
Calle de Preciados;144;141;122;2;PEATONAL;0;0;Calle de Preciados;PRECIADOS;510,03631381300
Calle del Carmen;145;142;123;2;PEATONAL;0;0;Calle del Carmen;CARMEN;346,46001400500
Calle de la Corredera Baja de San Pablo;146;143;124;1;CICLOCALLES;-1;0;Calle de la Corredera Baja de San Pablo;CORREDERA BAJA DE SAN PABLO;363,60821819000
Calle de los Tudescos;147;144;124;1;CICLOCALLES;-1;0;Calle de los Tudescos;TUDESCOS;140,07853030600
