COD_VIA;nombreOriginal;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;DISTRITO;IMPAR_MIN;IMPAR_MAX;PAR_MIN;PAR_MAX;tipoVia;palabrasClave
7600;AGOSTO;CALLE;DE; AGOSTO;AGOSTO;20;1;71;2;70;;AGOSTO
7700;AGRACEJO;CALLE;DEL; AGRACEJO;AGRACEJO;6;1;19;2;12;;AGRACEJO
7800;AGRAMUNT;CALLE;DE; AGRAMUNT;AGRAMUNT;21;1;3;2;4;;AGRAMUNT
7850;AGREDA;CALLE;DE; AGREDA;ÁGREDA;16;1;11;2;16;;AGREDA
31001268;AGUA, AZUCARILLOS Y AGUARDIENTE;PLAZA;DE; AGUA, AZUCARILLOS Y AGUARDIENTE;AGUA, AZUCARILLOS Y AGUARDIENTE;17;;;;;;AGUA, AZUCARILLOS AGUARDIENTE
31001268;AGUA, AZUCARILLOS Y AGUARDIENTE;PLAZA;DE; AGUA, AZUCARILLOS Y AGUARDIENTE;AGUA, AZUCARILLOS Y AGUARDIENTE;17;;;;;;AGUA, AZUCARILLOS AGUARDIENTE
7900;AGUACATE;CALLE;DEL; AGUACATE;AGUACATE;11;1;47;2;64;;AGUACATE
8000;AGUADOR;PLAZA;DEL; AGUADOR;AGUADOR;11;;;2;6;;AGUADOR
8100;AGUADULCE;CALLE;DE; AGUADULCE;AGUADULCE;21;1;15;2;16;;AGUADULCE
8200;AGUARON;CALLE;DE; AGUARON;AGUARÓN;9;3;35;4;58;;AGUARON
8300;AGUAS;CALLE;DE LAS; AGUAS;AGUAS;1;1;17;2;14;;AGUAS
8400;AGUAVIVA;CALLE;DE; AGUAVIVA;AGUAVIVA;20;1;5;2;8;;AGUAVIVA
8500;AGUEDA DIEZ;CALLE;DE; AGUEDA DIEZ;ÁGUEDA DÍEZ;11;1;7;2;10;;AGUEDA DIEZ
8600;AGUEDA DIEZ;PLAZA;DE; AGUEDA DIEZ;ÁGUEDA DÍEZ;11;1;5;2;4;;AGUEDA DIEZ
838;AGUETOL;CALLE;DE; AGUETOL;AGUETOL;21;1;13;2;14;;AGUETOL
8700;AGUILA;CALLE;DEL; AGUILA;ÁGUILA;1;1;27;2;22;;AGUILA
905563;AGUILA DE SAN JORGE;CAMINO;DEL; AGUILA DE SAN JORGE;ÁGUILA DE SAN JORGE;8;;;;;;AGUILA SAN JORGE
8800;AGUILAFUENTE;CALLE;DE; AGUILAFUENTE;AGUILAFUENTE;9;1;131;36;36;;AGUILAFUENTE
8900;AGUILAR DE CAMPOO;CALLE;DE; AGUILAR DE CAMPOO;AGUILAR DE CAMPOO;9;1;29;2;28;;AGUILAR CAMPOO
9100;AGUILAR DEL RIO;CALLE;DE; AGUILAR DEL RIO;AGUILAR DEL RÍO;11;1;23;2;18;;AGUILAR RIO
9200;AGUILEÑAS;CALLE;DE LAS; AGUILEÑAS;AGUILEÑAS;6;1;15;2;6;;AGUILEÑAS
9300;AGUILON;CALLE;DE; AGUILON;AGUILÓN;2;1;17;2;4;;AGUILON
9500;AGUIRRE;CALLE;DE; AGUIRRE;AGUIRRE;4;1;5;2;2;;AGUIRRE
9600;AGUJA;CALLE;DE LA; AGUJA;AGUJA;20;1;1;2;16;;AGUJA
9900;AGUSTIN CALVO;CALLE;DE; AGUSTIN CALVO;AGUSTÍN CALVO;16;3;53;4;50;;AGUSTIN CALVO
9800;AGUSTIN DE BETANCOURT;CALLE;DE; AGUSTIN DE BETANCOURT;AGUSTÍN DE BETANCOURT;7;1;25;2;6;;AGUSTIN BETANCOURT
10200;AGUSTIN DE FOXA;CALLE;DE; AGUSTIN DE FOXA;AGUSTÍN DE FOXÁ;5;1;33;2;58;;AGUSTIN FOXA
2263;AGUSTIN DE ITURBIDE;CALLE;DE; AGUSTIN DE ITURBIDE;AGUSTÍN DE ITURBIDE;16;1;7;2;38;;AGUSTIN ITURBIDE
10600;AGUSTIN DE ROJAS;CALLE;DE; AGUSTIN DE ROJAS;AGUSTÍN DE ROJAS;5;1;13;2;12;;AGUSTIN ROJAS
10100;AGUSTIN DURAN;CALLE;DE; AGUSTIN DURAN;AGUSTÍN DURÁN;4;1;39;2;34;;AGUSTIN DURAN
2643;AGUSTIN GARCIA MALLA;CALLE;DE; AGUSTIN GARCIA MALLA;AGUSTÍN GARCÍA MALLA;18;;;2;12;;AGUSTIN GARCIA MALLA
31001046;AGUSTIN GONZALEZ;PLAZA;DE; AGUSTIN GONZALEZ;AGUSTÍN GONZÁLEZ;15;1;15;;;;AGUSTIN GONZALEZ
10260;AGUSTIN LARA;CALLE;DE; AGUSTIN LARA;AGUSTÍN LARA;9;1;11;2;22;;AGUSTIN LARA
10400;AGUSTIN QUEROL;CALLE;DE; AGUSTIN QUEROL;AGUSTÍN QUEROL;3;1;13;2;8;;AGUSTIN QUEROL
10500;AGUSTIN RODRIGUEZ BONAT;CALLE;DE; AGUSTIN RODRIGUEZ BONAT;AGUSTÍN RODRÍGUEZ BONAT;11;1;7;2;2;;AGUSTIN RODRIGUEZ BONAT
10800;AGUSTIN VIÑAMATA;CALLE;DE; AGUSTIN VIÑAMATA;AGUSTÍN VIÑAMATA;3;1;5;2;8;;AGUSTIN VIÑAMATA
10900;AGUSTINA DE ARAGON;CALLE;DE; AGUSTINA DE ARAGON;AGUSTINA DE ARAGÓN;4;1;21;2;14;;AGUSTINA ARAGON
11100;AGUSTINA FIERRA;CALLE;DE; AGUSTINA FIERRA;AGUSTINA FIERRA;11;3;9;2;10;;AGUSTINA FIERRA
11300;AHIJONES;CALLE;DE LOS; AHIJONES;AHIJONES;13;1;5;4;12;;AHIJONES
11450;AHILLONES;PASAJE;DE; AHILLONES;AHILLONES;16;;;2;4;;AHILLONES
11500;AHONES;AVENIDA;DE LOS; AHONES;AHONES;16;1;21;2;22;;AHONES
11550;AHORRO;PLAZA;DEL; AHORRO;AHORRO;17;;;6;6;;AHORRO
31000677;AHUMAOS;CALLE;DE LOS; AHUMAOS;AHUMAOS;19;15;39;14;24;;AHUMAOS
11800;AILANTO;CALLE;DEL; AILANTO;AILANTO;6;1;41;12;54;;AILANTO
915;AINSA;CALLE;DE; AINSA;AÍNSA;20;1;31;2;30;;AINSA
2734;AIRE;CALLE;DEL; AIRE;AIRE;21;9;87;2;56;;AIRE
11900;AIZGORRI;CALLE;DE; AIZGORRI;AIZGORRI;4;1;13;2;14;;AIZGORRI
12000;AJALVIR;CALLE;DE; AJALVIR;AJALVIR;9;1;5;2;10;;AJALVIR
775601;AJENJO;CALLE;DEL; AJENJO;AJENJO;9;1;13;2;8;;AJENJO
12300;AJOFRIN;CALLE;DE; AJOFRIN;AJOFRÍN;20;;;2;30;;AJOFRIN
12300;AJOFRIN;CALLE;DE; AJOFRIN;AJOFRÍN;20;;;2;30;;AJOFRIN
12350;ALABARDEROS;PASEO;DE LOS; ALABARDEROS;ALABARDEROS;10;3;3;2;48;;ALABARDEROS
2313;ALABASTRO;CALLE;DEL; ALABASTRO;ALABASTRO;2;5;5;6;6;;ALABASTRO
12400;ALADIERNA;CALLE;DE LA; ALADIERNA;ALADIERNA;17;1;11;2;18;;ALADIERNA
12500;ALAGON;CALLE;DE; ALAGON;ALAGÓN;21;1;31;2;26;;ALAGON
12600;ALAJATE;CALLE;DE; ALAJATE;ALAJATE;12;1;9;;;;ALAJATE
12700;ALAMBIQUE;CALLE;DEL; ALAMBIQUE;ALAMBIQUE;20;1;7;2;8;;ALAMBIQUE
12800;ALAMEDA;CALLE;DE LA; ALAMEDA;ALAMEDA;1;1;17;2;26;;ALAMEDA
31000371;ALAMEDA DE LA FUENTE;CALLE;DE LA; ALAMEDA DE LA FUENTE;ALAMEDA DE LA FUENTE;19;1;9;;;;ALAMEDA FUENTE
31000371;ALAMEDA DE LA FUENTE;CALLE;DE LA; ALAMEDA DE LA FUENTE;ALAMEDA DE LA FUENTE;21;;;;;;ALAMEDA FUENTE
13000;ALAMEDA DE OSUNA;PASEO;DE LA; ALAMEDA DE OSUNA;ALAMEDA DE OSUNA;16;;;2;2;;ALAMEDA OSUNA
13000;ALAMEDA DE OSUNA;PASEO;DE LA; ALAMEDA DE OSUNA;ALAMEDA DE OSUNA;21;25;179;8;80;;ALAMEDA OSUNA
31000506;ALAMEDA DEL VALLE;CALLE;DE; ALAMEDA DEL VALLE;ALAMEDA DEL VALLE;18;9;91;14;68;;ALAMEDA VALLE
13200;ALAMEDILLA;CALLE;DE; ALAMEDILLA;ALAMEDILLA;2;1;33;16;30;;ALAMEDILLA
1189;ALAMEDILLAS;PASEO;DE LAS; ALAMEDILLAS;ALAMEDILLAS;8;1;5;2;10;;ALAMEDILLAS
13400;ALAMILLO;CALLE;DEL; ALAMILLO;ALAMILLO;1;1;1;2;2;;ALAMILLO
13500;ALAMILLO;PLAZA;DEL; ALAMILLO;ALAMILLO;1;1;11;2;10;;ALAMILLO
13600;ALAMO;CALLE;DEL; ALAMO;ÁLAMO;1;1;9;2;12;;ALAMO
